legacy	rom
4. Òâæý$å G…™èþÐèþ$…¨?	vīḷḷu eṁtamaṁdi? (8)
2. Òâæý$å G…™èþÐèþ$…¨?	vīḷḷu eṁtamaṁdi? (4)
5. Ðóþ$… G…™èþÐèþ$…¨Ñ$?	mēṁ eṁtamaṁdimi? (6)
3. Ò$Ææÿ$ G…™èþÐèþ$…¨?	mīru eṁtamaṁdi? (3)
6. Ðèþ$¯èþ… G…™èþÐèþ$…¨Ñ$?	manaṁ eṁtamaṁdimi? (5)
1. ^èþ*yæþ$	cūḍu
.	.
2. ÌñýMæüPò³r$t	lekkapeṭṭu
.	.
3. Mæü*Æøa	kūrcō
.	.
5. E…¨	uṁdi
.	.
4. Æ>	rā
.	.
6. Ìôý§æþ$	lēdu
.	.
1. C¨ MæüË….	idi kalaṁ
2. A¨ ºËÏ.	adi balla.
3. C¨ ™èþË$ç³#.	idi talupu.
Ðóþ$…	mēṁ
1. ¯èþ$Ðèþ#Ó JMæüyìþÑ. ¯óþ¯èþ$ JMæü×ìý~.	nuvvu okaḍivi. nēnu okaṇṇi.
C§æþªÆæÿ….	iddaraṁ.
2. ¯óþ¯èþ$ JMæü×ìý~. BÄæý$¯èþ JMæüÆæÿ$. ¯èþ$Ðèþ#Ó JMæüyìþÑ.	nēnu okaṇṇi. āyana okaru. nuvvu okaḍivi.
Ðèþ$$Væü$YÆæÿ….	mugguraṁ.
3. Ðóþ$… C§æþªÆæÿ…. Ðéâæý$å C§æþªÆæÿ$.	mēṁ iddaraṁ. vāḷḷu iddaru.
¯èþË$Væü$Ææÿ….	naluguraṁ.
¯óþ¯èþ$ CMæüPyæþ E¯é²¯èþ$.	nēnu ikkaḍa unnānu.
Ðóþ$… CMæüPyæþ E¯é²….	mēṁ ikkaḍa unnāṁ.
Ðèþ$¯èþ… CMæüPyæþ E¯é²….	manaṁ ikkaḍa unnāṁ.
¯èþ$Ðèþ#Ó CMæüPyæþ E¯é²Ðèþ#.	nuvvu ikkaḍa unnāvu.
Ò$Ææÿ$ CMæüPyæþ E¯é²Ææÿ$.	mīru ikkaḍa unnāru.
Ðéyæþ$ CMæüPyæþ E¯é²yæþ$.	vāḍu ikkaḍa unnāḍu.
A™èþ¯èþ$ CMæüPyæþ E¯é²yæþ$.	atanu ikkaḍa unnāḍu.
A¨ CMæüPyæþ E…¨.	adi ikkaḍa uṁdi.
BÐðþ$ CMæüPyæþ E…¨.	āme ikkaḍa uṁdi.
BÐðþ$/BÄæý$¯èþ CMæüPyæþ E¯é²Ææÿ$.	āme/āyana ikkaḍa unnāru.
ÐéÆæÿ$ CMæüPyæþ E¯é²Ææÿ$.	vāru ikkaḍa unnāru.
Ðéâæý$å CMæüPyæþ E¯é²Ææÿ$.	vāḷḷu ikkaḍa unnāru.
A¨ CMæüPyæþ E…¨.	adi ikkaḍa uṁdi.
AÑ CMæüPyæþ E¯é²Æÿ$$.	avi ikkaḍa unnāyi.
E¯é²Ææÿ$	unnāru
E…¨	uṁdi
A¨ CMæüPyæþ Ìôý§æþ$.	adi ikkaḍa lēdu.
BÐðþ$ CMæüPyæþ Ìôý§æþ$.	āme ikkaḍa lēdu.
A¨ CMæüPyæþ Ìôý§æþ$.	adi ikkaḍa lēdu.
A¨ CMæüPyæþ Ìôý§æþ$.	avi ikkaḍa lēvu.
ÌôýÐèþ#	lēvu
Ìôý§æþ$	lēdu
ÌôýÆæÿ$	lēru
¯óþ¯èþ$	nēnu
:	nu
E¯é²&¯èþ$ Ìôý&¯èþ$	unnā-nu lē-nu
Ðóþ$…/Ðèþ$¯èþ…	mēṁ/manaṁ
:	ṁ
E¯é²&… Ìôý&¯èþ$	nnā-ṁ lē-ṁ
¯èþ$Ðèþ#Ó	nuvvu
:	vu
E¯é²&Ðèþ# Ìôý&Ðèþ#	unnā-vu lē-vu
Ò$Ææÿ$	mīru
:	ru
E¯é²&Ææÿ$ Ìôý&Ææÿ$	unnā-ru lē-ru
BÄæý$¯èþ/BÐðþ$/ÐéÆæÿ$ : Ææÿ$	āyana/āme/vāru
:	ru
E¯é²&Ææÿ$ Ìôý&Ææÿ$	unnā-ru lē-ru
Ðéâæý$å	vāḷḷu
:	ru
E¯é²&Ææÿ$ Ìôý&Ææÿ$	unnā-ru lē-ru
Ðéyæþ$/A™èþ¯èþ$	vāḍu/atanu
:	ḍu
E¯é²&yæþ$ Ìôý&yæþ$	unnā-ḍu lē-ḍu
A¨/BÐðþ$	adi/āme
:	di/du
AÑ/CÑ	avi/ivi
:	yi/vu
Ðéyæþ$/Òyæþ$ E¯é²yæþ$.	vāḍu/vīḍu unnāḍu.
A™èþ¯èþ$/C™èþ¯èþ$ E¯é²yæþ$.	atanu/itanu unnāḍu.
BÐðþ$/DÐðþ$ E…¨/E¯é²Ææÿ$.	āme/īme uṁdi/unnāru.
BÄæý$¯èþ/DÄæý$¯èþ E¯é²Ææÿ$.	āyana/īyana unnāru.
ÐéÆæÿ$/ÒÆæÿ$ E¯é²Ææÿ$.	vāru/vīru unnāru.
Ðéâæý$å/Òâæý$å E¯é²Ææÿ$.	vāḷḷu/vīḷḷu unnāru.
A¨/C¨ E…¨.	adi/idi uṁdi.
AÑ/CÑ E¯é²Æÿ$$.	avi/ivi unnāyi.
Cç³šyæþ$ ¯óþ¯èþ$ CMæüPyæþ E¯é²¯èþ$.	ippuḍu nēnu ikkaḍa unnānu.
Aç³šyæþ$ ¯óþ¯èþ$ CMæüPyæþ E¯é²¯èþ$.	appuḍu nēnu ikkaḍa unnānu.
Cç³šyæþ$ A™èþ¯èþ$ CMæüPyæþ Ìôýyæþ$.	ippuḍu atanu ikkaḍa lēḍu.
Aç³šyæþ$ A™èþ¯èþ$ CMæüPyæþ Ìôýyæþ$.	appuḍu atanu ikkaḍa lēḍu.
Ðéyæþ$	vāḍu
Ðéyìþ	vāḍi
Òyæþ$	vīḍu
Òyìþ	vīḍi
A¨	adi
C¨	idi
§é°	dāni
©°	dīni
A¨	adi
§é°	dāni
C¨	idi
©°	dīni
Ðéyæþ$	vāḍu,  vīḍu,  adi
AÐèþ*ÃÆÿ$$	ammāyi
A»ê¾Æÿ$$	abbāyi
C	i
C  E	i
Æ>Ðèþ#V>Ç A»ê¾Æÿ$$	u
-&Ë$	-lu
-Æÿ$$	yi
-&Ë$	ammāyi-lu
Mæü*yé	kūḍā
¯óþ¯èþ$ Ìôý¯èþ$; Ðèþ* ^ðþÌñýÏË$ Mæü*yé Ìôý§æþ$.	nēnu lēnu; mā cellelu kūḍā lēdu.
¯óþ¯èþ$ Ìôý¯èþ$; Ðèþ* ^ðþÌñýÏË* Ìôý§æþ$.	nēnu lēnu; mā cellelū lēdu.
¯èþ$Ðèþ#Ó ÌôýÐèþ#; ¯óþ¯èþ$ Mæü*yé Ìôý¯èþ$.	nuvvu lēvu; nēnu kūḍā lēnu.
¯èþ$Ðèþ#Ó ÌôýÐèþ#; ¯óþ¯èþ* Ìôý¯èþ$.	nuvvu lēvu; nēnū lēnu.
ÆæÿÒ Æ>Ðèþ$*	ravī rāmū
D ¸ùsZÌZ ¯èþ$ÐèþNÓ Ò$ ^ðþÌñýÏË* G…§æþ$Mæü$ ÌôýÆæÿ$?	ī fōṭōlō nuvvū mī cellelū eṁduku lēru?
D ¸ùsZÌZ AÐèþ*Ã ¯é¯èþ²V>Ææÿ* ÌôýÆæÿ$.	ī fōṭōlō ammā nānnagārū lēru.
¯èþ$Ðèþ#Ó ÌôýÐèþ#; ¯óþ¯èþ* Ìôý¯èþ$.	nuvvu lēvu; nēnū lēnu.
ÆæÿÑ E¯é²yæþ$; Ë™é E…¨.	ravi unnāḍu; latā uṁdi.
G…§æþ$Mæü$	eṁduku
Aç³šyæþ$	appuḍu
Cç³šyæþ$	ippuḍu
Gç³šyæþ$	eppuḍu
AMæüPyæþ	akkaḍa
CMæüPyæþ	ikkaḍa
GMæüPyæþ	ekkaḍa
AÐèþ#¯èþ$	avunu
M>§æþ$	kādu
A§æþ$Vø	adugō
C§æþ$Vø	idugō
H¨	ēdi
AÑVø	avigō
CÑVø	ivigō
HÑ	ēvi
A§æþ$Vø	adugō
C§æþ$Vø	idugō
H¨	ēdi
&A…yîþ	-aṁḍī
¯Œþ	n
Bþ	ā
&A…yìþ	-aṁḍi
A	a
&A…yìþ	-aṁḍi
Ò$Ææÿ$ A…§æþÆæÿ* CÌê Ææÿ…yìþ.	mīru aṁdarū ilā raṁḍi.
CÌê	ilā
AÌê	alā
Æ>	rā
CÐèþ#Ó	ivvu
^èþ*yæþ$	cūḍu
Mæü*Æøa	kūrcō
CÌê Æ>!	ilā rā!
CÐóþÓâæý	ivvēḷa
CÐéÓâæý	ivvāḷa
&AMæü$	-aku
&AMæü…yìþ	-akaṁḍi
^ðþç³š	ceppu
^ðþç³µ…yìþ	ceppaṁḍi
Æ>	rā
Æ>…yìþ	rāṁḍi
Ææÿ…yìþ	raṁḍi c.f. 7.15.
Mæü*Æøa	kūrcō
Ææÿ…yìþ	kūrcōṁḍi
A…yìþ	aṁḍi
AMæü$	aku
AMæü…yìþ	akaṁḍi
Ððþâæý$å	veḷḷu
Ððþâæý$å	veḷḷu
Ððþâæýå…yìþ	veḷḷaṁḍi
ÐðþâæýåMæü$	veḷḷaku
ÐðþâæýåMæü…yìþ	veḷḷakaṁḍi
Æ>	rā
Ððþâæý$å	veḷḷu
¡çÜ$Mø	tīsukō
^ðþç³š	ceppu
E	u.
C	i
A	a
ç³§æþ	pada
C	i
C	i
ÄŒý$	y
ÄŒý$	y
C	i
ç³§æþ	pada,
E	u.
B  H   K	ā
E	ē
ÄŒý$	ō
C	i
ÐðþÆÿ$$Å	veyyi
ÐðþÄæý$Å…yìþ ÐðþÄæý$ÅMæü$	veyyaṁḍi veyyaku
ÐðþÄæý$ÅMæü…yìþ	veyyakaṁḍi
†Æÿ$$Å	tiyyi
†Äæý$Å…yìþ †Äæý$ÅMæü$	tiyyaṁḍi tiyyaku
†Äæý$ÅMæü…yìþ	tiyyakaṁḍi
Ðèþ$$Æÿ$$Å Ðèþ$$Äæý$Å…yìþ Ðèþ$$Äæý$ÅMæü$	muyyi muyyaṁḍi muyyaku
Ðèþ$$Äæý$ÅMæü…yìþ	muyyakaṁḍi
Ðésìý	vāṭi
Òsìý	vīṭi
AÑ	avi
CÑ	ivi
CÑ	mā tammuḍū kavē!
Mæü*yé	kūḍā
MæüÑ	kavi
&H	-ē
Ìôý¯èþ$	lēnu
&H	-
Mæü*yé	kūḍā
BÄæý$¯èþ Mæü*yé MæüÑ   BÄæý$¯èþ Mæü*yé MæüÐóþ!	āyana kūḍā kavi  āyana kūḍā kavē!
Æðÿ…yæþ$	reṁḍu
Æðÿ…yæþ$	reṁḍu
Æðÿ…yæþ*	reṁḍū
C§æþªÆæÿ$	iddaru
C§æþªÆæÿ*	iddarū
Ðèþ$*yæþ$	mūḍu
Ðèþ$*yæþ*	mūḍū
Ðèþ$$Væü$YÆæÿ$	mugguru
Ðèþ$$Væü$YÆæÿ*	muggurū
B!	ā!
CË$Ï	illu
C…sìý	iṁṭi
(§æþVæüYÆæÿ	daggara
MæüP¯èþ	pakkana
(§æþVæüYÆæÿ	iṁṭi pakkana
CË$Ï	illu
Câæý$å	iḷḷu
&Ë$	-lu
Ë$	lu
&Ë$	-lu
Ë$	lu
âæý$å	ḷḷu
GÌê	elā
AÌê	alā
CÌê	ilā
&AÐèþ*Ã -	ammā
AMæüPyæþ GÐèþÆæÿ$¯é²ÆæÿÐèþ*Ã?	akkaḍa evarunnārammā?
&A…yîþ	-aṁḍī
AMæüPyæþ GÐèþÆæÿ$¯é²Ææÿ…yîþ?	akkaḍa evarunnāraṁḍī?
CÐóþ¯é ™ðþË$Væü$ ¯èþÐèþËË$?	ivēnā telugu navalalu?
Ðéãå§æþªÆæÿ* Ææÿ^èþÆÿ$$™èþÌôý¯é?	vāḷḷiddarū racayitalēnā?
&B	-ā
&H	-ē
Ðéâæý$å Ææÿ^èþÆÿ$$™èþÌê?	vāḷḷu racayitalā?
Ðéâæý$å Ææÿ^èþÆÿ$$™èþÌôý¯é?	vāḷḷu racayitalēnā?
Ðéâæý$å Ææÿ^èþÆÿ$$™èþÌôý¯é?	vāḷḷu racayitalēnā?
Ðéâôýå¯é Ææÿ^èþÆÿ$$™èþË$?	vāḷḷēnā racayitalu?
B	ā
G	e
-&B	-ā
B	ā
B	–
&H	-ē
G	e
&G	-e
&B	-ā
BÐðþ$ + H! = BÐóþ$!	-ē
¯Œþ	n
A§óþ  A¨ + H!	adē
H	ē
&B	-ā
¯Œþ	n
¯Œþ	idugōnaṁḍī
&AÐèþ*Ã	-ammā
&A…yîþþ	-aṁḍī
»êVæü$&	bāgu-
GÌê E¯é²Ææÿ$?	elā unnāru?
»êVæü$¯é²Æ>?	bāgunnārā?
Ò$ ¯é¯èþ² V>ÆðÿÌê E¯é²Ææÿ$?	mī nānnagārelā unnāru?
Ò$ ™èþÐèþ$$Ãyæþ$ »êVæü$¯é²yé?	mī tammuḍu bāgunnāḍā?
^ðþÌñýÏË$	cellelu
Ý÷…™èþþ	soṁta
™èþÐèþ$$Ãyæþ$	tammuḍu
AMæüPÄæý$Å	akkayya
^ðþÌñýÏË$	cellelu
Ý÷…™èþþ	soṁta
A¯èþ²Äæý$Å	annayya
™èþÐèþ$$Ãyæþ$	tammuḍu
AMæüPÄæý$Å	akkayya
^ðþÌñýÏË$	cellelu
A¯èþ²Äæý$Å ™èþÐèþ$$Ãyæþ$	annayya tammuḍu
Ý÷…™èþþA¯èþ²Äæý$Å Ý÷…™èþþ™èþÐèþ$$Ãyæþ$	soṁta annayya soṁta tammuḍu
AMæüPÄæý$Å/^ðþÌñýÏË$	akkayya/ cellelu
Ý÷…™èþþAMæüPÄæý$Å/Ý÷…™èþþ^ðþÌñýÏË$	soṁta akkayya/ soṁta cellelu
Ý÷…™èþþ	soṁta
&¨	-di
&Ñ	-vi
&¨	-di
&Ñ	-vi
&¨	-di
&Ñ	-vi
¯é¨	nādi
¯éÑ	nāvi
Ðèþ*Ñ	māvi
Ðèþ$¯èþÑ	manavi
±Ñ	nīvi
Ò$Ñ	mīvi
ÐéyìþÑ	vāḍivi
A™èþ°Ñ	atanivi
BÐðþ$Ñ	āmevi
BÄæý$¯èþÑ	āyanavi
ÐéÇÑ	vārivi
ÐéâæýåÑ	vāḷḷavi
§é°Ñ	dānivi
ÐésìýÑ	vāṭivi
-&¨	-di
-&Ñ	-vi
Æ>Ðèþ$$yìþ¨	rāmuḍidi
D MæüË… Æ>Ðèþ$$yìþ¨.	ī kalaṁ rāmuḍidi
Æ>Ðèþ$$yìþÑ	rāmuḍivi
D MæüÌêË$ Æ>Ðèþ$$yìþÑ.	ī kalālu rāmuḍivi
Æ>k¨	rājudi
D Mæü$Èa Æ>k¨.	ī kurcī rājudi
Æ>kÑ	rājuvi
D Mæü$ÈaË$ Æ>kÑ.	ī kurcīlu rājuvi
ÑfÄæý$¨	vijayadi
D ç³#çÜ¢Mæü… ÑfÄæý$¨.	ī pustakaṁ vijayadi
ÑfÄæý$Ñ	vijayavi
D ç³#çÜ¢M>Ë$ ÑfÄæý$Ñ.	ī pustakālu vijayavi
HÇ	ēri
CÆæÿ$Vøþ	irugō
AÆæÿ$Vøþ	arugō
Hyìþ	ēḍi
Cyæþ$Vøþ	iḍugō
Ayæþ$Vøþ	aḍugō
H¨	ēdi
C§æþ$Vøþ	idugō
A§æþ$Vøþ	adugō
H¨	ēdi
C§æþ$Vøþ	idugō
A§æþ$Vøþ	adugō
HÑ	ēvi
CÑVøþ	ivigō
AÑVøþ	avigō
ç³NË$þ	pūlu
ç³#Ðèþ#Ó	puvvu
Ææÿ*´ëÆÿ$$þ	rūpāyi
ÄŒý$	y
r$t	ṭṭu
r$t	ṭṭu
&Ë$	-lu
Mö™èþ¢	kotta
´ë™èþ	pāta
G…™èþ	eṁta
&K	-ō
&K	-ō
G°²	enni
G¯ø²	ennō
JMæüsZ	okaṭō
Æðÿ…yø	reṁḍō
G°²	mūḍō
¯éË$Vø	nālugō
A¨ G¯ø²	adi ennō
Væü¨? A¨  BÆø  Væü¨.	gadi? adi   ārō    gadi
C…M>	iṁkā
C…MöMæü	iṁkoka
C…MöMæü	iṁkoka
C…M>	iṁkā
JMæü	oka
AÑ ¯éË$Væü$ MæüÌêË$.  B ò³sñýt Ò$§æþ  ü MæüË… E…¨.	avi nālugu kalālu.  ā peṭṭe mīda iṁkoka kalaṁ uṁdi.
Mæü§é	kadā
CÐóþÓâæý B¨ÐéÆæÿ… Mæü§é!	ivvēḷa ādivāraṁ,  kadā!
¯óþ¯èþ$ CMæüPyóþ E¯é²¯èþ$ Mæü§é!	nēnu ikkaḍē unnānu kadā?
Ò$Ææÿ$ yéMæütÆæÿ$ Mæü§é!	mīru ḍākṭaru kadā?
Ðèþ$Ç	mari
Ðèþ* ™èþÐèþ$$Ãyìþ í³ËÏË$ CMæüPyóþ E¯é²Ææÿ$.	mā tammuḍi pillalu ikkaḍē unnāru.
Ðèþ$Ç Ò$ ™èþÐèþ$$Ãyæþ$ GMæüPyæþ E¯é²yæþ$?	mari mī tammuḍu ekkaḍa unnāḍu?
D çÜ…`ÌZ H… E¯é²Æÿ$$?	ī saṁcīlō ēṁ unnāyi?
D ò³sñýtÌZ H… E…¨?	ī peṭṭelō ēṁ uṁdi?
H…	ēṁ
H…	ēṁ
H…	ēṁ
H…	ēṁ
H…	ēṁ
HÑ$sìý	ēmiṭi
GÐèþÆæÿ$	evaru
H¨	ēdi
HÑ	ēvi
H…  G°²	ēṁ,
G…™èþÐèþ$…¨	enni
G…™èþÐèþ$…¨	eṁtamaṁdi
HÑ$sìý	ēmiṭi
A¨ HÑ$sìý?	adi ēmiṭi?
H…	ēṁ
H… E…¨?	ēṁ uṁdi?
H… ç³#çÜ¢Mæü…?	ēṁ pustakaṁ?
GÐèþÆæÿ$	ēvaru
GÐèþÆæÿ$ E¯é²Ææÿ$? A™èþ¯èþ$ GÐèþÆæÿ$?	evaru unnāru? atanu evaru?
H¨	ēdi
H¨ ± MæüË…?	ēdi nī kalaṁ? nī kalaṁ ēdi?
HÑ	ēvi
HÑ ± MæüÌêË$? ± MæüÌêË$ HÑ?	ēvi nī kalālu? nī kalālu ēvi?
G°²	enni
G°² E¯é²Æÿ$$? AÑ G°²?	enni unnāyi?
G°² MæüÌêË$?	enni kalālu?
G…™èþÐèþ$…¨   G…™èþÐèþ$…¨ E¯é²Ææÿ$? Ðéâæý$å G…™èþÐèþ$…¨? G…™èþÐèþ$…¨ yéMæütÆæÿ$Ï?	eṁtamaṁdi eṁtamaṁdi
çÜÆóÿ!	sarē!
&A	-a
&Ë$	-lu
&¨	-di
&Ñü	-vi
™ðþËÏ¨	telladi
™ðþËÏÑü	tellavi
BMæü$ç³^èþa¨	ākupaccadi
BMæü$ç³^èþaÑü	ākupaccavi
BÑyæþ	āviḍa
DÑyæþü	īviḍa
BÐðþ$	āme
DÐðþ$	īme
BÐðþ$	āme
DÐðþ$	īme
BÑyæþ	āviḍa
DÑyæþ	īviḍa
BÑyæþ	āme mā cellelu.
BÐðþ$/DÐðþ$ü	āviḍa pēru; īviḍapēru
D ¸ùsZÌZ BÑyæþ Ðèþ* Ðèþ¨¯èþ.	ī fōṭōlō āviḍa mā vadina.
D ò³sñýtÌZ `ÆæÿË$ GÐèþÇÑ?	ī peṭṭelō cīralu evarivi.
Mæü§æþ*?	kadū?
Mæü§é?ü	kadā?
Mæü§éü	kadā
Mæü§æþ*	kadū
Mæü§éü	kadā
Mæü§æþ*	kadū
A¯èþ²Ðèþ*r	annamāṭa
A¯èþ²Ðèþ*r	annamāṭa
"""""CÐóþÓâæý ÑfÄæý$§æþÔèýÑ$.''"	"""ivvēḷa vijayadaśami."""
"""""AÆÿ$$™óþ CÐóþÓâæý òÜËÐèþ# A¯èþ²Ðèþ*r!''"	"""ayitē ivvēḷa selavu annamāṭa!"""
CÆæÿÐðþO	iravai
CÆæÿÐèþÄñý*Å	iravayyō
Ðèþ* ¯é¯èþ²V>Ææÿ$ C…sìý§æþVæüYÆæÿ E¯é²Ææÿ$.	mā nānnagāru iṁṭidaggara unnāru.
§æþVæüYÆæÿ	daggara
´ëÐèþ#	pāvu
AÆæÿ	ara
Ðèþ$$´ëµÐèþ#	muppāvu
´ëÐèþ#	pāvu
…»êÐèþ#	ṁbāvu
…»êÐèþ#	reṁḍuṁbāvu
AÆæÿ	ara
¯èþ²Ææÿ	nnara
¯èþ²Ææÿ	reṁḍunnara
Ðèþ$$´ëµÐèþ#ÿ	muppāvu
Ðèþ$$Ã´ëµÐèþ#ÿ	mmuppāvu
Æðÿ…yæþ$+Ðèþ$$´ëµÐèþ# = Æðÿ…yæþ$Ðèþ$$Ã´ëµÐèþ#	reṁḍummuppāvu
J…sìýVæü…r	oṁṭigaṁṭa
JMæü Væü…r	oka gaṁṭa
Væü…rË$	gaṁṭalu
Væü…rË$	reṁḍu gaṁṭalu
Væü…rË$	mūḍu gaṁṭalu
G…™èþ	eṁta
™èþÆ>Ó™èþ	tarvāta
CÆæÿÐðþOþ	iravai
JMæüsìý	okaṭi
™öÑ$Ã¨	tommidi
CÆæÿÐðþOþ	iravai
¯èþË¿ñýO	nalabhai
Äæý*¿ñýOþ	yābhai
CÆæÿÐðþOJMæüsìýþ	iravaiokaṭi
Äæý*¿ñýOþ	mupphai reṁḍu
CÆæÿÐðþOJMæüsìýþ	iravai
&Mæü$/&Mìü	-ku/-ki
&Mìü	-ki
C  D	i
C  D	ī
D	ī
±	nī
Ò$	mī
&Mæü$	-ku
D	ī
±	nī
Ò$	mī
±	atani-ki
&Mæü$/&Mìü	-ku/-ki
Ðèþ* CË$Ï	mā illu
FÆæÿ$	ūru
Ðèþ* FÆæÿ$	mā ūru
FÆæÿ$	mā ūru
¨	di
Ñ	vi
&Ðéyæþ$	-vāḍu
&¨	-di
&ÐéÆæÿ$	-vāru
&Ðéâæý$å	-vāḷḷu
&Ðéyæþ$	vāḍu
&ÐéÆæÿ$	-vāru
¨	di
Ñ	vi
A¨	adi
¨	avi
Ðèþ$…_Ñ	maṁcivi
&Ë$	-lu
&yæþ$	-ḍu
&yæþ$	-ḍu
&Ë$	-lu
&âæý$å	-ḷḷu
&yæþ$	-ḍu
&Ææÿ$	-ru
&yæþ$	-ḍu
&Ë$	-lu
FÆæÿ$	ūru
Mæü*™èþ$Ææÿ$	kūturu
&Ææÿ$	-ru
&Ææÿ$	-ru
yéMæütÆæÿ$	ḍākṭaru
M>Ææÿ$	kāru
Ææÿ$	ru
Ë$	lu
âæý$å	ḷḷu
í³ËÏË$	pillalu
Byæþí³ËÏ	āḍapilla
Byæþí³ËÏ	magapillavāḍu
AÐèþ*ÃÆÿ$$	ammāyi
Byæþí³ËÏ	āḍapilla
BÄæý$¯èþMæü$ C§æþªÆæÿ$ AÐèþ*ÃÆÿ$$Ë$/Byæþí³ËÏË$.	āyanaku iddaru ammāyilu/āḍapillalu.
BÐðþ$Mæü$ JMæü A»ê¾Æÿ$$/Ðèþ$Væüí³ËÏÐéyæþ$.	āmeku oka abbāyi/magapillavāḍu.
A»ê¾Æÿ$$	abbāyi
Byæþí³ËÏ	āḍapilla
A»ê¾Æÿ$$	magapillavāḍu
Byæþí³ËÏ	mī ammāyi
AÐèþ*ÃÆÿ$$	ammāyi
A»ê¾Æÿ$$	abbāyi
Byæþí³ËÏ	āḍapilla
A»ê¾Æÿ$$	magapillavāḍu
AMæüP	akka
AMæüPÄæý$Å	akkayya
A¯èþ²	anna
A¯èþ²Äæý$Å	annayya
A¯èþ²	akkajelleḷḷu
AÆæÿÐðþO	aravai
yðþ»ñýOÂ	ḍebbhai
G¯èþ¿ñýO	enabhai
™ö…¿ñýO	toṁbhai
¯èþ*Ææÿ$	nūru
JMæüsìý	okaṭi
™öÑ$Ã¨	tommidi
¯èþ*Ææÿ$	nūru
AÆæÿÐðþOJMæüsìý	aravaiokaṭi
™öÑ$Ã¨	ḍebbhaimūḍu
G¯èþ¿ñýOBÆæÿ$	enabaiāru
yðþ»ñýOüÂÐèþ$*yæþ$	toṁbhaienimidi
¯èþ*sìý&	nūṭi-
¯èþ*Ææÿ$	nūru
¯èþ*sìý&	nūṭiki nūru
Ò$Mæü$ ¯èþ*sìýMìü AÆæÿÐðþO Ðèþ*Ææÿ$PË$.	mīku nūṭiki aravai mārkulu.
1. Ò$Ææÿ$ G…™èþÐèþ$…¨ A¯èþ²§æþÐèþ$$ÃË$?	mīru eṁtamaṁdi annadammulu?
2. Ò$Mæü$ G…™èþÐèþ$…¨ A¯èþ²§æþÐèþ$$ÃË$?	mīku eṁtamaṁdi annadammulu?
1. ¯éMæü$ ¯èþË¿ñýOBÆø Hyæþ$.	nāku nalabhaiārō ēḍu.
2. ¯éMæü$ ¯èþË¿ñýOBÆæÿ$ Hâæý$å.	nāku nalabhaiāru ēḷḷu.
M>°	kāni
A™èþ°Mìü Ðèþ$…_ ^èþ§æþ$Ðèþ# E…¨; M>° E§øÅVæü… Ìôý§æþ$.	ataniki maṁci caduvu uṁdi; kāni udyōgaṁ lēdu.
…sŒý	ṁṭ
ÌŒý	l
C…sìý	iṁṭi
CË$Ï	illu
&Mæü$/&Mìü	-ku/ -ki
Ðèþ* FÇMìü ºçÜ$Þ E…¨.	mā ūriki railuṁdi.
1. Ðèþ* FÇMìü ¸ù¯èþ$ E…¨.	mā ūriki fōnu uṁdi.
2. Ðèþ* C…sìýMìü ¸ù¯èþ$ E…¨.	mā iṁṭiki fōnu uṁdi.
Ðèþ* C…sZÏ ¸ù¯èþ$ E…¨.	mā iṁṭlō fōnu uṁdi.
B ^ðþr$tMæü$ ç³NË$ E¯é²Æÿ$$.	ā ceṭṭuku pūḷu unnāyi.
B MöÐèþ$ÃMæü$ BMæü$Ë$ E¯é²Æÿ$$.	ā kommaku ākulu unnāyi.
Ðèþ$Æ>w¨	marāṭīdi
&°	-ni
&Ñ	-vi
&Ðéyæþ$	-vāḍu
&Ðéyìþ	-vāḍi
&¨	-di
&A¨	-adi
&§é°	-dāni
&ÌZ	-lō
Ò$ÌZ G…™èþÐèþ$…¨ ™ðþË$Væü$Ðéâæý$å?	mīlō eṁtamaṁdi teluguvāḷḷu?
1. Ðèþ*ÌZ C§æþªÆæÿ$ ™ðþË$Væü$Ðéâæý$å.	mālō iddaru teluguvāḷḷu.
2. Ðèþ*ÌZ C§æþªÆæÿ… ™ðþË$Væü$Ðéâæýå….	mālō iddaraṁ teluguvāḷḷaṁ.
¯óþ¯èþ$ JMæü×ìý~ çßýÆ>Å¯éÐé×ìý~.	nēnu okaṇṇi haryānāvāṇṇi.
JMæü×ìý~	okaṇṇi
¯óþ¯èþ$	nēnu
1. ¯óþ¯èþ$ JMæü×ìý~.	nēnu okaṇṇi.
2. ¯óþ¯èþ$ çßýÆ>Å¯éÐé×ìý~.	nēnu haryānāvāṇṇi.
¯óþ¯èþ$	nēnu
JMæü×ìý~	okaṇṇi
¯óþ¯èþ$ JMæü×ìý~ çßýÆ>Å¯éÐé×ìý~.	nēnu okaṇṇi haryānāvāṇṇi.
HÐóþ$…	ēmēṁ
H…	ēṁ
HÐóþ$… E¯é²Æÿ$$?	ēmēṁ unnāyi?
MæüË… M>Æÿ$$™èþ… E¯é²Æÿ$$.	kalaṁ kāyitaṁ unnāyi.
± õÜ²íßý™èþ$Ë$ GÐèþÆðÿÐèþÆæÿ$(GÐèþÆæÿ$ + GÐèþÆæÿ$)? ÆæÿÒ, WÈ ¯é õÜ²íßý™èþ$Ë$.	nī snēhitulu evarevaru?
(GMæüPyæþ + GMæüPyæþ)	nī kalālu ekkaḍekkaḍa unnāyi? nā kalālu akkaḍā ikkaḍā unnāyi.
…	ṁ
